algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg4_reduced_complexity,4,0,0,1717700100306602603,0,7080555183,2220.841513,2818.249307,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[500.0000047683716, 500.0000047683716, 500.0000047683716]"
alg4_reduced_complexity,5,0,0,1717700107785355070,0,9648187306,2671.791171,3607.188533,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[600.0000057220459, 600.0000057220459, 600.0000057220459]"
alg4_reduced_complexity,6,0,0,1717700118332862041,0,7062171151,2327.369387,2542.893526,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[700.0000066757202, 700.0000066757202, 700.0000066757202]"
alg4_reduced_complexity,7,0,0,1717700125821887346,0,9442045587,2364.129584,3628.879173,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[800.0000076293945, 800.0000076293945, 800.0000076293945]"
alg4_reduced_complexity,8,0,0,1717700135697370228,0,8540665976,2014.441358,3729.075852,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[900.0000085830688, 900.0000085830688, 900.0000085830688]"
alg4_reduced_complexity,9,0,0,1717700144801242425,0,8191776839,2040.875208,3041.056734,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
hdfsrs_3_2,0,0,0,1717700154608535039,0,7915337737,235.105129,5173.967615,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[166.66670894622803, 166.66670894622803]"
hdfsrs_3_2,1,0,0,1717700162999470044,0,9604309570,229.206935,5335.851373,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[333.33341789245605, 333.33341789245605]"
hdfsrs_3_2,2,0,0,1717700173311871460,0,7787080456,116.895687,4790.230224,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[500.0001268386841, 500.0001268386841]"
hdfsrs_3_2,3,0,0,1717700181909684068,0,8943808950,438.028218,3934.029531,209715200,2,1.2,349525334,174762711,166.6666669845581,"[0, 1]","[666.6668357849121, 666.6668357849121]"
